created_at,SUHU,KELEMBABAN,IRRADIATION,DEBU,ARUS,TEGANGAN,TANGGAL,JAM
2023-07-2205:30:00,24.9,84.0,660.0,256.10352,18.5,19.54183,2023-07-22,05:30
2023-07-2205:40:00,24.9,84.0,1701.66663,353.22266,20.4,22.31405,2023-07-22,05:40
2023-07-2205:50:00,25.5,83.0,1850.83325,204.63867,20.8,22.63407,2023-07-22,05:50
2023-07-2206:00:00,25.8,81.0,2170.0,235.35156,21.0,22.80209,2023-07-22,06:00
2023-07-2206:10:00,26.5,80.0,2610.83325,267.72461,20.9,22.91811,2023-07-22,06:10
2023-07-2206:20:00,26.3,79.0,3068.33325,487.69531,21.3,22.9981,2023-07-22,06:20
2023-07-2206:30:00,26.5,77.0,5000.83301,298.4375,21.2,22.99411,2023-07-22,06:30
2023-07-2206:40:00,27.0,76.0,3834.1665,373.97461,18.6,23.14583,2023-07-22,06:40
2023-07-2206:50:00,27.4,75.0,7517.49951,227.88086,18.5,23.14186,2023-07-22,06:50
2023-07-2207:00:00,28.4,73.0,10268.33301,288.47656,18.5,23.09384,2023-07-22,07:00
2023-07-2207:10:00,29.0,73.0,11740.0,261.08398,18.4,23.04586,2023-07-22,07:10
2023-07-2207:20:00,30.2,68.0,13781.66602,122.46094,18.5,23.00185,2023-07-22,07:20
2023-07-2207:30:00,31.0,66.0,16186.66602,240.33203,18.2,22.87783,2023-07-22,07:30
2023-07-2207:40:00,33.0,62.0,18582.5,311.71875,18.3,22.77386,2023-07-22,07:40
2023-07-2207:50:00,34.3,60.0,20240.83203,178.90625,18.0,22.7618,2023-07-22,07:50
2023-07-2208:00:00,35.3,58.0,22508.33203,167.28516,18.0,22.74583,2023-07-22,08:00
2023-07-2208:10:00,36.0,58.0,24452.5,329.98047,18.5,22.76181,2023-07-22,08:10
2023-07-2208:20:00,35.5,58.0,25943.33203,232.86133,18.1,22.86583,2023-07-22,08:20
2023-07-2208:30:00,34.4,60.0,26653.33203,347.41211,18.3,22.90585,2023-07-22,08:30
2023-07-2208:40:00,36.3,58.0,28282.49805,184.7168,18.4,22.81381,2023-07-22,08:40
2023-07-2208:50:00,39.9,55.0,29054.16602,290.9668,18.0,22.53782,2023-07-22,08:50
2023-07-2209:00:00,36.9,55.0,29537.49805,152.34375,18.0,22.50579,2023-07-22,09:00
2023-07-2209:10:00,36.9,55.0,30064.16602,126.61133,18.2,22.47781,2023-07-22,09:10
2023-07-2209:20:00,36.8,55.0,8570.0,294.28711,17.0,20.9137,2023-07-22,09:20
2023-07-2209:30:00,36.2,55.0,33948.33203,268.55469,18.0,22.7098,2023-07-22,09:30
2023-07-2209:40:00,37.6,55.0,37027.5,181.39648,18.1,22.48578,2023-07-22,09:40
2023-07-2209:50:00,36.8,55.0,37105.0,364.84375,17.9,22.38578,2023-07-22,09:50
2023-07-2210:00:00,37.8,53.0,33461.66406,146.5332,17.8,22.36178,2023-07-22,10:00
2023-07-2210:10:00,38.4,54.0,34744.16406,129.93164,18.0,22.5298,2023-07-22,10:10
2023-07-2210:20:00,38.2,53.0,35385.41406,338.28125,17.7,22.34979,2023-07-22,10:20
2023-07-2210:30:00,38.2,53.0,36026.66406,297.60742,18.0,22.38978,2023-07-22,10:30
2023-07-2210:40:00,38.0,54.0,41059.16406,237.8418,17.7,22.37379,2023-07-22,10:40
2023-07-2210:50:00,38.0,54.0,30683.33203,257.76367,17.7,22.07777,2023-07-22,10:50
2023-07-2211:00:00,38.0,54.0,41790.0,179.73633,17.7,22.53382,2023-07-22,11:00
2023-07-2211:10:00,38.5,54.0,42800.0,399.70703,17.8,22.30978,2023-07-22,11:10
2023-07-2211:20:00,39.0,52.0,42450.0,276.85547,17.7,22.30578,2023-07-22,11:20
2023-07-2211:30:00,38.9,51.0,39890.83203,564.89258,17.8,22.26978,2023-07-22,11:30
2023-07-2211:40:00,38.6,51.0,37793.33203,630.46875,17.8,22.31377,2023-07-22,11:40
2023-07-2211:50:00,38.3,54.0,11408.33301,430.41992,17.3,21.3257,2023-07-22,11:50
2023-07-2212:00:00,36.8,55.0,16643.33203,496.82617,17.6,22.08178,2023-07-22,12:00
2023-07-2212:10:00,38.1,54.0,19989.16602,461.96289,17.8,22.50575,2023-07-22,12:10
2023-07-2212:20:00,37.7,55.0,30974.99805,440.38086,18.0,22.5538,2023-07-22,12:20
2023-07-2212:30:00,38.1,54.0,30803.33203,549.95117,18.0,22.5898,2023-07-22,12:30
2023-07-2212:40:00,37.2,55.0,28207.49805,572.36328,18.0,22.5978,2023-07-22,12:40
2023-07-2212:50:00,37.7,55.0,27541.66602,652.88086,18.0,22.60978,2023-07-22,12:50
2023-07-2213:00:00,37.6,55.0,26174.99805,641.25977,18.0,22.56977,2023-07-22,13:00
2023-07-2213:10:00,37.3,55.0,24897.49805,721.77734,17.8,22.5458,2023-07-22,13:10
2023-07-2213:20:00,37.3,55.0,23394.16602,541.65039,18.0,22.49378,2023-07-22,13:20
2023-07-2213:30:00,37.9,55.0,22370.0,603.90625,17.8,22.44978,2023-07-22,13:30
2023-07-2213:40:00,36.9,55.0,21375.83203,706.00586,17.9,22.52177,2023-07-22,13:40
2023-07-2213:50:00,37.2,55.0,20185.416015000003,790.67383,17.7,22.45379,2023-07-22,13:50
2023-07-2214:00:00,36.4,56.0,18995.0,747.50977,17.7,22.4338,2023-07-22,14:00
2023-07-2214:10:00,37.2,55.0,17654.4444375,724.26758,17.7,22.3938,2023-07-22,14:10
2023-07-2214:20:00,36.8,55.0,16313.888875,608.05664,17.7,22.24576,2023-07-22,14:20
2023-07-2214:30:00,36.7,55.0,14973.3333125,643.75,17.6,22.22577,2023-07-22,14:30
2023-07-2214:40:00,36.5,55.0,13632.77775,789.84375,17.4,21.42573,2023-07-22,14:40
2023-07-2214:50:00,34.5,59.0,12292.2221875,625.48828,17.2,21.37771,2023-07-22,14:50
2023-07-2215:00:00,34.7,58.0,10951.666625,606.39648,17.1,21.76172,2023-07-22,15:00
2023-07-2215:10:00,34.6,59.0,9611.1110625,655.37109,16.8,21.2737,2023-07-22,15:10
2023-07-2215:20:00,34.8,59.0,8270.5555,839.64844,17.2,21.63774,2023-07-22,15:20
2023-07-2215:30:00,34.9,59.0,6929.999937500001,655.37109,17.3,21.57372,2023-07-22,15:30
2023-07-2215:40:00,34.2,60.0,5589.444375000001,332.4707,17.1,21.54971,2023-07-22,15:40
2023-07-2215:50:00,33.8,60.0,4248.888812500001,563.23242,16.8,21.02168,2023-07-22,15:50
2023-07-2216:00:00,33.4,60.0,2908.33325,759.13086,17.9,21.04178,2023-07-22,16:00
2023-07-2216:10:00,33.2,60.0,3174.1665,577.34375,18.1,21.28982,2023-07-22,16:10
2023-07-2216:20:00,33.2,60.0,3139.1665,525.87891,18.2,21.22982,2023-07-22,16:20
2023-07-2216:30:00,33.2,61.0,2080.83325,656.20117,18.0,20.58978,2023-07-22,16:30
2023-07-2216:40:00,32.8,62.0,1129.16663,686.08398,16.9,19.59371,2023-07-22,16:40
2023-07-2216:50:00,32.4,63.0,656.66663,520.06836,7.2,4.84068,2023-07-22,16:50
2023-07-2217:00:00,31.6,66.0,280.0,657.03125,3.1,3.70831,2023-07-22,17:00
2023-07-2305:00:00,23.8,84.0,22.5,658.69141,1.7,3.00417,2023-07-23,05:00
2023-07-2305:10:00,23.8,85.0,129.16666,581.49414,3.1,3.64831,2023-07-23,05:10
2023-07-2305:20:00,23.9,85.0,379.16666,471.09375,16.3,18.60562,2023-07-23,05:20
2023-07-2305:30:00,24.1,84.0,757.5,674.46289,18.0,21.20584,2023-07-23,05:30
2023-07-2305:40:00,24.5,84.0,1370.83325,582.32422,18.9,22.3939,2023-07-23,05:40
2023-07-2305:50:00,24.8,83.0,1572.49988,581.49414,19.2,22.78593,2023-07-23,05:50
2023-07-2306:00:00,25.1,83.0,1923.33325,608.05664,19.5,23.06195,2023-07-23,06:00
2023-07-2306:10:00,24.9,82.0,2335.83325,485.20508,23.0,23.33035,2023-07-23,06:10
2023-07-2306:20:00,25.2,81.0,2660.0,706.00586,20.7,23.46206,2023-07-23,06:20
2023-07-2306:30:00,25.5,80.0,4071.6665,630.46875,20.0,23.28599,2023-07-23,06:30
2023-07-2306:40:00,25.7,76.0,3314.1665,357.37305,20.3,23.27003,2023-07-23,06:40
2023-07-2306:50:00,26.6,74.0,6254.99951,564.89258,20.2,23.20602,2023-07-23,06:50
2023-07-2307:00:00,27.3,74.0,7666.6665,579.83398,20.2,23.186,2023-07-23,07:00
2023-07-2307:10:00,28.3,71.0,9567.5,710.98633,20.3,23.06603,2023-07-23,07:10
2023-07-2307:20:00,29.0,70.0,11682.5,656.20117,20.2,23.086,2023-07-23,07:20
2023-07-2307:30:00,30.5,66.0,14453.33301,558.25195,20.2,23.04996,2023-07-23,07:30
2023-07-2307:40:00,31.2,64.0,17290.83203,680.27344,20.1,23.054,2023-07-23,07:40
2023-07-2307:50:00,32.8,62.0,20897.5,579.00391,20.0,22.978,2023-07-23,07:50
2023-07-2308:00:00,33.0,60.0,22904.16602,795.6543,19.8,22.96601,2023-07-23,08:00
2023-07-2308:10:00,34.3,58.0,24503.33203,699.36523,20.0,22.822,2023-07-23,08:10
2023-07-2308:20:00,34.6,60.0,25577.49805,665.33203,19.9,22.81398,2023-07-23,08:20
2023-07-2308:30:00,34.4,60.0,26389.99805,639.59961,20.0,22.71004,2023-07-23,08:30
2023-07-2308:40:00,34.4,58.0,27148.33203,595.60547,19.7,22.702,2023-07-23,08:40
2023-07-2308:50:00,36.4,55.0,27414.16602,656.20117,19.8,22.582,2023-07-23,08:50
2023-07-2309:00:00,42.4,50.0,29133.33203,652.88086,19.9,22.57396,2023-07-23,09:00
2023-07-2309:10:00,38.3,54.0,30822.49805,637.10937,19.4,22.47399,2023-07-23,09:10
2023-07-2309:20:00,37.4,53.0,32760.83203,535.00977,19.5,22.46594,2023-07-23,09:20
2023-07-2309:30:00,37.8,51.0,33655.0,637.93945,19.6,22.40195,2023-07-23,09:30
2023-07-2309:40:00,37.3,52.0,34754.16406,1061.2793,19.6,22.39796,2023-07-23,09:40
2023-07-2309:50:00,38.2,52.0,34052.5,738.37891,19.7,22.41801,2023-07-23,09:50
2023-07-2310:00:00,37.7,52.0,34088.33203,1047.99805,19.6,22.38195,2023-07-23,10:00
2023-07-2310:10:00,38.2,51.0,32906.66406,908.54492,19.5,22.36195,2023-07-23,10:10
2023-07-2310:20:00,38.8,52.0,34490.0,1023.92578,19.9,22.34197,2023-07-23,10:20
2023-07-2310:30:00,37.9,52.0,33815.0,1191.60156,19.5,22.22995,2023-07-23,10:30
2023-07-2310:40:00,35.8,55.0,8859.16602,899.41406,19.2,21.46188,2023-07-23,10:40
2023-07-2310:50:00,36.0,55.0,8808.33301,633.78906,8.1,5.84961,2023-07-23,10:50
2023-07-2311:00:00,34.0,57.0,11865.83301,710.15625,19.4,22.47796,2023-07-23,11:00
2023-07-2311:10:00,34.4,58.0,37210.83203,668.65234,20.5,23.71806,2023-07-23,11:10
2023-07-2311:20:00,35.7,54.0,9086.66602,503.4668,18.7,21.28989,2023-07-23,11:20
2023-07-2311:30:00,37.3,54.0,36559.16406,553.27148,19.9,22.73795,2023-07-23,11:30
2023-07-2311:40:00,38.0,53.0,34755.83203,636.2793,19.6,22.56196,2023-07-23,11:40
2023-07-2311:50:00,38.2,53.0,33319.16406,884.47266,19.5,22.54195,2023-07-23,11:50
2023-07-2312:00:00,37.7,53.0,31755.83203,515.91797,19.6,22.57798,2023-07-23,12:00
2023-07-2312:10:00,37.2,54.0,30045.83203,398.87695,19.8,22.70195,2023-07-23,12:10
2023-07-2312:20:00,36.7,54.0,29782.49805,581.49414,19.6,22.70994,2023-07-23,12:20
2023-07-2312:30:00,36.8,54.0,29488.33203,755.81055,19.7,22.71797,2023-07-23,12:30
2023-07-2312:40:00,37.5,54.0,28657.49805,678.61328,19.8,22.70595,2023-07-23,12:40
2023-07-2312:50:00,37.3,54.0,27358.33203,910.20508,19.6,22.64997,2023-07-23,12:50
2023-07-2313:00:00,36.6,53.0,26026.66602,627.97852,19.6,22.70196,2023-07-23,13:00
2023-07-2313:10:00,36.4,54.0,25078.33203,669.48242,19.6,22.68995,2023-07-23,13:10
2023-07-2313:20:00,35.5,55.0,23471.66602,723.4375,19.7,22.76999,2023-07-23,13:20
2023-07-2313:30:00,35.7,55.0,22806.66602,549.95117,19.8,22.68599,2023-07-23,13:30
2023-07-2313:40:00,35.2,56.0,21058.33203,611.37695,19.8,22.73399,2023-07-23,13:40
2023-07-2313:50:00,35.5,56.0,20155.0,798.97461,19.7,22.62997,2023-07-23,13:50
2023-07-2314:00:00,35.0,58.0,18990.83203,594.77539,19.6,22.59397,2023-07-23,14:00
2023-07-2314:10:00,34.7,58.0,17961.66602,581.49414,19.7,22.55798,2023-07-23,14:10
2023-07-2314:20:00,34.7,58.0,17030.0,587.30469,19.6,22.47794,2023-07-23,14:20
2023-07-2314:30:00,34.4,58.0,16204.16602,617.1875,19.3,22.40194,2023-07-23,14:30
2023-07-2314:40:00,34.4,57.0,14959.16602,657.86133,19.1,22.23794,2023-07-23,14:40
2023-07-2314:50:00,34.0,57.0,13438.33301,613.03711,19.4,22.10192,2023-07-23,14:50
2023-07-2315:00:00,34.2,57.0,12499.16602,645.41016,19.3,21.93789,2023-07-23,15:00
2023-07-2315:10:00,34.0,57.0,11027.5,641.25977,18.8,21.73792,2023-07-23,15:10
2023-07-2315:20:00,34.2,56.0,10198.33301,546.63086,18.8,21.5539,2023-07-23,15:20
2023-07-2315:30:00,34.1,56.0,8972.5,790.67383,18.6,21.31388,2023-07-23,15:30
2023-07-2315:40:00,33.6,56.0,7310.83301,696.875,18.7,21.06587,2023-07-23,15:40
2023-07-2315:50:00,33.7,56.0,6421.6665,712.64648,18.6,21.07788,2023-07-23,15:50
2023-07-2316:00:00,33.4,56.0,3454.1665,657.03125,18.5,21.02186,2023-07-23,16:00
2023-07-2316:10:00,33.4,56.0,2805.83325,622.16797,18.4,20.86189,2023-07-23,16:10
2023-07-2316:20:00,32.9,56.0,2284.1665,610.54687,18.3,20.54983,2023-07-23,16:20
2023-07-2316:30:00,32.4,56.0,1684.99988,601.41602,17.9,20.17379,2023-07-23,16:30
2023-07-2316:40:00,32.0,56.0,1195.0,696.875,17.6,19.71766,2023-07-23,16:40
2023-07-2316:50:00,31.6,58.0,702.5,667.82227,16.8,18.70565,2023-07-23,16:50
2023-07-2317:00:00,31.3,60.0,300.83331,652.05078,7.0,4.72057,2023-07-23,17:00
2023-07-2405:00:00,23.2,80.0,20.0,730.9082,1.6,2.94018,2023-07-24,05:00
2023-07-2405:10:00,23.3,80.0,93.33333,698.53516,3.0,3.58032,2023-07-24,05:10
2023-07-2405:20:00,23.3,80.0,360.83331,800.63477,7.3,5.76874,2023-07-24,05:20
2023-07-2405:30:00,23.3,81.0,941.66663,790.67383,19.0,21.51789,2023-07-24,05:30
2023-07-2405:40:00,24.0,80.0,1705.83325,837.1582,19.6,22.58598,2023-07-24,05:40
2023-07-2405:50:00,24.8,78.0,1949.99988,719.28711,19.9,22.88999,2023-07-24,05:50
2023-07-2406:00:00,24.7,79.0,2354.1665,860.40039,20.0,17.79343,2023-07-24,06:00
2023-07-2406:10:00,25.7,75.0,2892.5,630.46875,19.6,22.97402,2023-07-24,06:10
2023-07-2406:20:00,26.0,73.0,3559.99976,599.75586,20.1,23.07801,2023-07-24,06:20
2023-07-2406:30:00,25.8,74.0,5101.6665,603.90625,19.8,22.89001,2023-07-24,06:30
2023-07-2406:40:00,25.5,76.0,4889.1665,707.66602,20.0,23.00601,2023-07-24,06:40
2023-07-2406:50:00,26.2,73.0,6106.6665,686.08398,19.9,22.902,2023-07-24,06:50
2023-07-2407:00:00,26.7,73.0,8852.5,719.28711,20.2,23.23802,2023-07-24,07:00
2023-07-2407:10:00,27.4,70.0,11160.0,652.88086,20.1,23.21403,2023-07-24,07:10
2023-07-2407:20:00,28.1,71.0,15869.99902,629.63867,20.5,23.32205,2023-07-24,07:20
2023-07-2407:30:00,30.1,67.0,17973.33203,603.07617,19.9,23.13,2023-07-24,07:30
2023-07-2407:40:00,31.5,63.0,20730.83203,657.86133,20.3,23.03804,2023-07-24,07:40
2023-07-2407:50:00,32.0,61.0,22552.5,630.46875,20.0,23.06202,2023-07-24,07:50
2023-07-2408:00:00,32.9,59.0,23915.0,539.99023,20.3,22.982,2023-07-24,08:00
2023-07-2408:10:00,33.8,58.0,26336.66602,658.69141,20.2,22.91401,2023-07-24,08:10
2023-07-2408:20:00,34.6,57.0,26684.16602,569.04297,20.0,22.75799,2023-07-24,08:20
2023-07-2408:30:00,35.7,55.0,26619.99805,702.68555,20.2,22.68599,2023-07-24,08:30
2023-07-2408:40:00,35.3,54.0,27243.33203,719.28711,20.2,22.71802,2023-07-24,08:40
2023-07-2408:50:00,37.1,53.0,28634.16602,742.5293,19.9,22.62998,2023-07-24,08:50
2023-07-2409:00:00,40.0,51.0,29087.49805,769.0918,20.2,22.67,2023-07-24,09:00
2023-07-2409:10:00,36.7,54.0,30681.66602,897.75391,20.1,22.60197,2023-07-24,09:10
2023-07-2409:20:00,35.1,56.0,29834.99805,657.03125,19.8,22.62202,2023-07-24,09:20
2023-07-2409:30:00,36.6,54.0,32159.16602,724.26758,20.2,22.57398,2023-07-24,09:30
2023-07-2409:40:00,36.3,53.0,32941.66406,684.42383,19.8,22.55798,2023-07-24,09:40
2023-07-2409:50:00,36.4,53.0,34312.5,681.10352,19.8,22.45397,2023-07-24,09:50
2023-07-2410:00:00,37.6,52.0,32855.0,800.63477,19.7,22.47397,2023-07-24,10:00
2023-07-2410:10:00,37.6,51.0,33705.83203,590.625,19.8,22.42997,2023-07-24,10:10
2023-07-2410:20:00,37.5,51.0,32884.16406,690.23437,20.0,22.48597,2023-07-24,10:20
2023-07-2410:30:00,36.8,51.0,31659.16602,718.45703,19.8,22.47399,2023-07-24,10:30
2023-07-2410:40:00,37.4,51.0,32639.16602,721.77734,19.8,22.45395,2023-07-24,10:40
2023-07-2410:50:00,37.4,51.0,34053.33203,736.71875,19.9,22.55398,2023-07-24,10:50
2023-07-2411:00:00,37.6,51.0,34980.83203,513.42773,19.5,22.494,2023-07-24,11:00
2023-07-2411:10:00,37.7,51.0,36310.0,710.15625,19.7,22.56199,2023-07-24,11:10
2023-07-2411:20:00,38.4,51.0,35756.66406,759.13086,19.6,22.47798,2023-07-24,11:20
2023-07-2411:30:00,39.0,50.0,34753.33203,762.45117,19.8,22.28997,2023-07-24,11:30
2023-07-2411:40:00,37.8,51.0,33128.33203,665.33203,19.8,22.35795,2023-07-24,11:40
2023-07-2411:50:00,38.9,49.0,26200.83203,711.81641,19.5,22.24998,2023-07-24,11:50
2023-07-2412:00:00,38.7,49.0,29159.99805,780.71289,19.5,22.34997,2023-07-24,12:00
2023-07-2412:10:00,38.6,51.0,27507.49805,647.90039,19.5,22.34597,2023-07-24,12:10
2023-07-2412:20:00,38.3,50.0,26990.83203,681.93359,19.7,22.40999,2023-07-24,12:20
2023-07-2412:30:00,38.4,50.0,26163.33203,644.58008,19.8,22.40598,2023-07-24,12:30
2023-07-2412:40:00,37.4,51.0,24873.33203,692.72461,19.8,22.534,2023-07-24,12:40
2023-07-2412:50:00,37.2,51.0,24546.66602,683.59375,20.0,22.60998,2023-07-24,12:50
2023-07-2413:00:00,38.9,51.0,24305.83203,890.2832,19.8,22.40598,2023-07-24,13:00
2023-07-2413:10:00,37.6,51.0,24676.66602,792.33398,19.8,22.50999,2023-07-24,13:10
2023-07-2413:20:00,37.7,51.0,26004.16602,661.18164,20.1,22.61,2023-07-24,13:20
2023-07-2413:30:00,37.9,52.0,16792.5,754.98047,19.5,22.18195,2023-07-24,13:30
2023-07-2413:40:00,37.5,53.0,18781.66602,748.33984,19.8,22.49797,2023-07-24,13:40
2023-07-2413:50:00,36.3,53.0,13075.83301,720.94727,19.6,22.20196,2023-07-24,13:50
2023-07-2414:00:00,36.2,54.0,15707.49902,698.53516,19.9,22.48997,2023-07-24,14:00
2023-07-2414:10:00,35.6,54.0,15568.33301,645.41016,20.1,22.52997,2023-07-24,14:10
2023-07-2414:20:00,35.7,55.0,12841.66602,810.5957,19.6,22.34595,2023-07-24,14:20
2023-07-2414:30:00,35.3,55.0,11765.0,785.69336,19.5,22.26192,2023-07-24,14:30
2023-07-2414:40:00,34.8,56.0,11193.33301,638.76953,19.6,22.28997,2023-07-24,14:40
2023-07-2414:50:00,34.9,56.0,10270.83301,657.86133,19.7,22.21398,2023-07-24,14:50
2023-07-2415:00:00,34.9,58.0,10597.5,1024.75586,19.3,22.23398,2023-07-24,15:00
2023-07-2415:10:00,34.5,59.0,10285.0,949.21875,19.5,22.17393,2023-07-24,15:10
2023-07-2415:20:00,34.0,59.0,7759.1665,1004.83398,19.3,21.98995,2023-07-24,15:20
2023-07-2415:30:00,34.0,59.0,5147.5,970.80078,19.4,21.8099,2023-07-24,15:30
2023-07-2415:40:00,33.7,60.0,4531.6665,1034.7168,19.1,21.71789,2023-07-24,15:40
2023-07-2415:50:00,33.1,61.0,3949.99976,975.78125,19.0,21.60191,2023-07-24,15:50
2023-07-2416:00:00,32.6,62.0,3459.99976,956.68945,19.3,21.4739,2023-07-24,16:00
2023-07-2416:10:00,33.0,62.0,3090.83325,1021.43555,18.7,21.3339,2023-07-24,16:10
2023-07-2416:20:00,33.0,62.0,2714.1665,973.29102,18.8,21.18191,2023-07-24,16:20
2023-07-2416:30:00,32.6,62.0,2060.83325,1100.29297,18.5,20.87786,2023-07-24,16:30
2023-07-2416:40:00,32.4,63.0,1349.16663,968.31055,18.1,20.34181,2023-07-24,16:40
2023-07-2416:50:00,32.3,63.0,859.16663,1185.79102,17.7,19.80579,2023-07-24,16:50
2023-07-2417:00:00,31.6,63.0,302.5,1124.36523,7.4,5.50074,2023-07-24,17:00























































































































































































































































































































































































































































































































































































































